#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos,average_views_per_video
65,بانوراما فوود - PNC Food @UC4Z-RcQmSCNS-GIZKv40TPQ,2.7M,-,Misri,Chakula na Vinywaji,798K,بانوراما فوود - PNC Food,3110000,604408717,33299,18150.957
66,أكاديمية أسماء لتحفيظ القرآن @UCGFm0-5vRHxQkLJulBtuZ3w,2.7M,-,Misri,Vitabu,795K,أكاديمية أسماء لتحفيظ القرآن,4540000,896969778,1104,812472.625
67,Hamada Helalofficial @UCpr-V-C5NyiIJ5gaAexOeyg,2.7M,-,Misri,,795K,Hamada Helal - حماده هلال,3310000,977221659,412,2371897.231
68,kariZma @UCUm6aTahaq6pS1CU7xXgSBw,2.6M,-,Misri,,789K,kariZma,2650000,239731816,298,804469.1812
69,قناة تجربتي مع ايمان @UCdDFxO7PSnu2eJQC5cqOSeQ,2.6M,-,Misri,,783K,‫قناة تجربتي مع ايمان (ايما ن ميرة)‬‎,2720000,277707155,2038,136264.551
70,طبيب اطفال د/ محمد دسوقي @UClyGyUqXvoGs1fHeuS5a1Dw,2.6M,-,Misri,Masoko na Utangazaji,774K,طبيب اطفال د/ محمد دسوقي,3570000,405178753,994,407624.5
71,حوارات - 7warat @UC7hzdUkoRB-wmsDfLfPOSAA,2.6M,-,Misri,,771K,حوارات - 7warat,3630000,1230627549,937,1313369.85
72,هالة سمير @UCH0J6cLZzbHvm7aKeNrWLdA,2.6M,-,Misri,,771K,هالة سمير,4070000,409957794,9316,44005.77437
73,Elsharq TV @UCxx-W7y5qIoFKHp7W-Efhcw,2.6M,-,Misri,,765K,قناة الشرق,2710000,512578476,18228,28120.39039
74,VISION @UC-HkebK0lB-QJOlv_FWxsfw,2.6M,-,Misri,,765K,VISION,2550000,562757072,1092,515345.304
75,gabs masr @UCmKK43Rg3QW-QzbQTHkFweQ,2.5M,-,Misri,,756K,gabs masr,2600000,396658876,397,999140.7456
76,EL Twins 2 @UCtxg2b4U8bdY-mOZgjQRvcg,2.5M,2.4%,Misri,,753K,El Twins 2,3200000,283705777,225,1260914.564
77,Mekky Music @UC5F2sh-KJOPakiYyGzR1ffg,2.5M,-,Misri,,744K,Mekky Music,2630000,304770380,18,16931687.78
78,El Schoola - الاسكوله @UCxhMyy_YpfigS83kign-0_g,2.5M,-,Misri,,741K,El Schoola - الاسكوله,2570000,247604019,5210,47524.76372
79,Nogoum Records @UCAwxzf-oKK63-_kPMcgXJ1Q,2.4M,-,Misri,,726K,Nogoum Records,3050000,2482690186,529,4693176.155
80,عبدالله ناصر @UCOVHJ8NtaQrcDUsW9G7iBMA,2.4M,0.1%,Misri,,723K,عبدالله ناصر,8820000,10023706171,5878,1705291.965
81,Ahmed Kamel - أحمد كامل @UCuQkXcgjSKpoQDp8Yn9WHVA,2.4M,8.4%,Misri,Muziki,711K,Ahmed Kamel - أحمد كامل,2670000,475792707,46,10343319.72
82,Dream TV Egypt @UCVTcEg96476pQibXX7IMdJw,2.4M,-,Misri,,708K,Dream TV Egypt,2430000,1025488961,56927,18014.1051
83,سام السلايم المرح @UCUabf2cM8vbDSuITGKhiXJQ,2.4M,-,Misri,,708K,سام السلايم المرح,3440000,1265370825,1237,1022935.186
84,For a better life @UCD1AAZqyLRPiD_O-JzDZagQ,2.3M,-,Misri,,699K,من اجل حياةافضل,2310000,14946381,227,65843.08811
85,ONdrama @UCeTTToFL9qZIybv69LX20Lg,2.3M,-,Misri,,696K,ON drama,2950000,1162692827,26321,44173.58106
86,Dream Interpretation Channel / Ismail Al-Ja’biri @UC_rHb45u8zXG15HOFBRd1Gw,2.3M,-,Misri,,696K,قناة تفسير الأحلام / اسماعيل الجعبيري,3380000,839925033,8465,99223.2762
87,زود معلوماتك @UCP_Iq6B3KKUvxo7lAxQicDQ,2.3M,-,Misri,,687K,OMAR x2,2610000,432400421,680,635882.9721
88,Muhammed Khaled @UClbgVGrOH6uNweWExLXGU5Q,2.3M,0.2%,Misri,,687K,Muhammed Khaled,2290000,216006832,380,568439.0316
89,الموسوعة @UC7iIeKbozDDc4YFYwXIoaWQ,2.3M,-,Misri,,687K,الموسوعة,2660000,352357826,1391,253312.5996
90,Ekramy Hagras Family @UCXljh94cNQFPO5j-M3AoVQQ,2.3M,0.5%,Misri,,684K,EKRAMY HAGRAS,2300000,336442800,551,610603.9927
91,دكتور جودة محمد عواد @UCz3OHvHE5ISze0Zf6ho5RYw,2.3M,-,Misri,,678K,دكتور جودة محمد عواد,2960000,297085708,1804,164681.6563
92,Imedia Mix - أي ميديا ميكـس @UCfR78bigfCEps84qTjbsuoQ,2.2M,-,Misri,,672K,Imedia Mix - أي ميديا ميكـس,2250000,523619695,3331,157195.9457
93,أنزور للإنتاج الفني والتوزيع Anzour Media @UC4Z2zafwOO8Kl-idXnGijPQ,2.2M,-,Misri,,666K,أنزور للإنتاج الفني والتوزيع Anzour Media,2630000,2027683265,6161,329115.9333
94,طلباتك أوامر مع دنيا رزق @UChUaoflO-Qbww7KSv1BCxcw,2.2M,-,Misri,,663K,طلباتك أوامر مع دنيا رزق,2520000,298760560,407,734055.43
95,WooHoo WHOA Arabic @UCLoLEAcrcS_1QgNcNHt8RpQ,2.2M,-,Misri,,657K,WooHoo WHOA Arabic,2690000,1397734460,893,1565212.161
96,El Zatoona - الزتونة @UCPnXSD5IUw3YdhUy5emn_qg,2.2M,-,Misri,,657K,El Zatoona - الزتونة,2440000,100240036,530,189132.1434
97,نسر الكونغ فو Eagle Kung Fu Jaber @UCE5hSysXd4vCwdVUAEHhw1Q,2.2M,-,Misri,,651K,نسر الكونغ فو Eagle Kung Fu Jaber,2280000,323425696,3218,100505.1883
98,مصطفى حسن sasamh @UC28lVUkaG6YR20p8uvKlD5Q,2.2M,-,Misri,,651K,مصطفى حسن sasamh,2400000,279835474,429,652297.1422
99,,,,,,,,,,,
100,,,,,,,,,,,
